Tm,Yr,Total_AV,Expected_AV,Picks,AV_Above_Expected
GNB,2008,181.0,83.80860320808142,7,97.19139679191858
GNB,2009,186.0,96.96462566471371,7,89.03537433528629
GNB,2010,162.0,85.12628394640147,7,76.87371605359853
GNB,2011,81.0,82.21072650164432,7,-1.2107265016443165
GNB,2012,70.0,85.43533389541408,6,-15.435333895414075
GNB,2013,161.0,105.18433128024279,10,55.81566871975721
GNB,2014,147.0,92.9814663307757,8,54.0185336692243
GNB,2015,53.0,88.03188619139478,8,-35.031886191394776
GNB,2016,144.0,89.16151259889048,7,54.83848740110952
GNB,2017,99.0,84.20352295111884,7,14.796477048881158
GNB,2018,77.0,99.70084469926678,9,-22.70084469926678
GNB,2019,112.0,117.95548047084398,8,-5.95548047084398
GNB,2020,90.0,82.03455742834358,8,7.965442571656425
GNB,2021,84.0,86.19974824671789,8,-2.1997482467178884
GNB,2022,120.0,122.90180233766553,10,-2.9018023376655293
GNB,2023,61.0,132.80094067933712,11,-71.80094067933712
HOU,2002,145.0,160.4555518896059,9,-15.455551889605914
HOU,2003,145.0,119.07856608669186,6,25.921433913308135
HOU,2004,49.0,80.11943305208514,5,-31.119433052085142
HOU,2005,38.0,69.69234383755449,5,-31.69234383755449
HOU,2006,164.0,130.65177584952798,7,33.34822415047202
HOU,2007,70.0,79.19221378678903,6,-9.192213786789026
HOU,2008,88.0,69.80484464973888,5,18.195155350261118
HOU,2009,114.0,104.60775399678215,8,9.39224600321785
HOU,2010,72.0,89.31640284274917,6,-17.31640284274917
HOU,2011,171.0,91.305502953914,6,79.694497046086
HOU,2012,110.0,95.43737487558685,7,14.562625124413145
HOU,2013,72.0,46.99274542836736,3,25.007254571632643
HOU,2014,100.0,129.59285297703025,9,-29.592852977030248
HOU,2015,62.0,76.10812438362086,5,-14.108124383620861
HOU,2016,74.0,73.84483449516304,5,0.15516550483695823
HOU,2017,104.0,92.399211632381,7,11.600788367619003
HOU,2018,45.0,72.62113904390381,7,-27.62113904390381
HOU,2019,60.0,87.16415007735101,6,-27.16415007735101
HOU,2020,28.0,60.362879876376546,5,-32.362879876376546
HOU,2021,60.0,51.782116653448654,5,8.217883346551346
HOU,2022,76.0,160.86826757051494,9,-84.86826757051494
HOU,2023,81.0,156.99962950572868,9,-75.99962950572868
IND,2000,74.0,68.42849972255273,5,5.571500277447271
IND,2001,243.0,79.35946424700744,6,163.64053575299255
IND,2002,116.0,96.29891485339071,7,19.701085146609287
IND,2003,176.0,94.83882695812358,8,81.16117304187642
IND,2004,96.0,79.9186864491922,7,16.081313550807806
IND,2005,65.0,75.6076234767987,6,-10.607623476798693
IND,2006,148.0,76.64031042543058,7,71.35968957456942
IND,2007,67.0,106.06691964953052,9,-39.06691964953052
IND,2008,78.0,77.00063317245332,9,0.9993668275466803
IND,2009,91.0,80.15755551404746,7,10.84244448595254
IND,2010,43.0,68.72580924517511,6,-25.725809245175114
IND,2011,66.0,56.36732409529005,4,9.632675904709949
IND,2012,187.0,126.4666756590751,7,60.533324340924906
IND,2013,32.0,62.25432086803775,5,-30.254320868037752
IND,2014,42.0,43.809871155938986,4,-1.8098711559389855
IND,2015,51.0,87.84084740998934,8,-36.84084740998934
IND,2016,103.0,92.25885063180718,7,10.741149368192822
IND,2017,101.0,96.50481614289006,7,4.495183857109936
IND,2018,258.0,150.8765039534815,10,107.12349604651851
IND,2019,74.0,98.70007818264935,7,-24.70007818264935
IND,2020,119.0,97.98157242182147,9,21.01842757817853
IND,2021,60.0,68.30064816799856,6,-8.30064816799856
IND,2022,58.0,79.14955397899023,7,-21.149553978990227
IND,2023,46.0,126.08421220855845,9,-80.08421220855845
JAX,2000,143.0,85.24503919389349,9,57.75496080610651
JAX,2001,116.0,82.35518453353144,5,33.64481546646856
JAX,2002,166.0,97.84922560706393,7,68.15077439293607
JAX,2003,148.0,98.25811441729874,6,49.74188558270126
JAX,2004,148.0,119.9963754925335,8,28.003624507466498
JAX,2005,74.0,93.6498534869769,8,-19.649853486976895
JAX,2006,131.0,72.69538078257328,6,58.30461921742672
JAX,2007,93.0,96.66166176926836,8,-3.6616617692683633
JAX,2008,18.0,57.971242564727106,3,-39.971242564727106
JAX,2009,108.0,121.00960739979624,9,-13.009607399796238
JAX,2010,45.0,71.97616958226561,5,-26.976169582265612
JAX,2011,35.0,77.5711603119115,5,-42.5711603119115
JAX,2012,34.0,86.88275444120367,5,-52.88275444120367
JAX,2013,79.0,125.56897284227779,8,-46.56897284227779
JAX,2014,173.0,132.3754637915128,9,40.6245362084872
JAX,2015,65.0,118.5218383881442,8,-53.521838388144204
JAX,2016,99.0,87.19598230666814,4,11.804017693331858
JAX,2017,85.0,103.2221138656973,6,-18.222113865697295
JAX,2018,61.0,71.73667767597739,6,-10.73667767597739
JAX,2019,83.0,90.60600450036127,6,-7.606004500361266
JAX,2020,64.0,148.59202724910384,11,-84.59202724910384
JAX,2021,113.0,153.81514069428647,7,-40.81514069428647
JAX,2022,72.0,127.71193698151392,7,-55.711936981513915
JAX,2023,46.0,109.71779973514096,10,-63.71779973514096
KAN,2000,93.0,91.40999891748292,7,1.5900010825170767
KAN,2001,35.0,64.43017083292077,6,-29.430170832920766
KAN,2002,28.0,77.30087517031203,4,-49.300875170312025
KAN,2003,96.0,90.8708153518401,8,5.129184648159907
KAN,2004,57.0,77.51824783035948,6,-20.518247830359485
KAN,2005,108.0,63.52903556859998,5,44.47096443140002
KAN,2006,106.0,84.46514154455194,7,21.53485845544806
KAN,2007,71.0,71.85643807050604,5,-0.8564380705060444
KAN,2008,189.0,173.81223317953726,11,15.187766820462741
KAN,2009,39.0,92.39946100432338,7,-53.399461004323385
KAN,2010,116.0,125.21791292511374,7,-9.217912925113737
KAN,2011,105.0,87.41818332654849,6,17.581816673451513
KAN,2012,75.0,89.14814451203024,6,-14.148144512030242
KAN,2013,159.0,116.9337313268774,7,42.06626867312259
KAN,2014,82.0,61.52818267328814,5,20.471817326711857
KAN,2015,99.0,103.91623029912064,8,-4.916230299120642
KAN,2016,173.0,75.6917817783512,7,97.3082182216488
KAN,2017,150.0,84.5145355642229,6,65.4854644357771
KAN,2018,46.0,62.696054102238996,5,-16.696054102238996
KAN,2019,63.0,64.48497729876664,6,-1.484977298766637
KAN,2020,84.0,72.38093281637782,6,11.619067183622178
KAN,2021,104.0,62.41121711744188,6,41.58878288255812
KAN,2022,110.0,125.79142508396978,10,-15.791425083969784
KAN,2023,30.0,75.62123689939078,6,-45.62123689939078
